📡中央电视台,#genre#

CCTV-1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV-2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV-3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV-4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV-5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV-5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV-6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV-7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV-8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV-9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV-10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV-11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV-12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV-13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV-14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV-15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV-16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV-17,http://148.135.93.213:81/live.php?id=CCTV17

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动|回看
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动|回看
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动|回看
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动|回看
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动|回看
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动|回看
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动|回看
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动|回看
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$移动高清|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$移动高清|回看
